Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.5965580940246582, 0.4863829016685486, 0.7084233164787292, 0.912972092628479
2, 0.35990414023399353, 0.28188371658325195, 0.9119870662689209, 0.9458128213882446
3, 0.2063358724117279, 0.17058135569095612, 0.9514039158821106, 0.9688013195991516
4, 0.12919239699840546, 0.13101333379745483, 0.9686825275421143, 0.9688013195991516
5, 0.11056952178478241, 0.11934660375118256, 0.9724621772766113, 0.9688013195991516
6, 0.11686460673809052, 0.11316822469234467, 0.9735420942306519, 0.9688013195991516
7, 0.10207890719175339, 0.10777883976697922, 0.9740820527076721, 0.9688013195991516
8, 0.0882149264216423, 0.10181757062673569, 0.9773218035697937, 0.9688013195991516
9, 0.09210219234228134, 0.09755099564790726, 0.9767818450927734, 0.9688013195991516
10, 0.09088077396154404, 0.09561312198638916, 0.977861762046814, 0.9688013195991516
11, 0.0758170336484909, 0.09105715900659561, 0.9821814298629761, 0.9704433679580688
12, 0.0768786072731018, 0.08710911124944687, 0.9821814298629761, 0.9704433679580688
13, 0.0691986083984375, 0.08367267996072769, 0.9811015129089355, 0.9704433679580688
14, 0.06889306008815765, 0.08232661336660385, 0.9827213883399963, 0.9737274050712585
15, 0.06534877419471741, 0.08230201154947281, 0.9865010976791382, 0.9737274050712585
16, 0.06268084049224854, 0.08099900931119919, 0.9875810146331787, 0.977011501789093
17, 0.053484223783016205, 0.07632680982351303, 0.9865010976791382, 0.977011501789093
18, 0.05408430099487305, 0.07610444724559784, 0.9892008900642395, 0.9786535501480103
19, 0.043121080845594406, 0.07278052717447281, 0.9897408485412598, 0.9786535501480103
20, 0.04015772417187691, 0.06934688985347748, 0.9892008900642395, 0.9802955389022827
21, 0.04120960459113121, 0.07035624980926514, 0.988120973110199, 0.9819375872612
22, 0.03293687850236893, 0.06407323479652405, 0.9908207058906555, 0.9819375872612
23, 0.031870681792497635, 0.0645226538181305, 0.9897408485412598, 0.9819375872612
24, 0.027916457504034042, 0.06397268921136856, 0.9924405813217163, 0.9819375872612
