 ,Infected,Uninfected,
Infected,299,5,
Uninfected,4,309,

,Infected,Uninfected,
Infected,927,5,
Uninfected,0,938,

,Infected,Uninfected,
Infected,306,6,
Uninfected,10,287,
