Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.6460578441619873, 0.5900664329528809, 0.6272727251052856, 0.8538587689399719
2, 0.4778221547603607, 0.424282431602478, 0.8470588326454163, 0.8686370849609375
3, 0.30191075801849365, 0.29933422803878784, 0.8807486891746521, 0.871921181678772
4, 0.20372897386550903, 0.24241019785404205, 0.9160428047180176, 0.9490968585014343
5, 0.1586855947971344, 0.20080842077732086, 0.9577540159225464, 0.9671592712402344
6, 0.14478006958961487, 0.17962175607681274, 0.9641711115837097, 0.9753694534301758
7, 0.12282723933458328, 0.16106662154197693, 0.9711229801177979, 0.9819375872612
8, 0.10957711935043335, 0.1452730894088745, 0.9721925258636475, 0.9819375872612
9, 0.08968044817447662, 0.1410432904958725, 0.977540135383606, 0.9835796356201172
10, 0.0847802385687828, 0.12993448972702026, 0.9834224581718445, 0.9819375872612
11, 0.07886838167905807, 0.12798886001110077, 0.9828876852989197, 0.9819375872612
12, 0.0735590010881424, 0.1179167628288269, 0.9850267171859741, 0.9819375872612
13, 0.06014470010995865, 0.11344265937805176, 0.9893048405647278, 0.9835796356201172
14, 0.06270955502986908, 0.11057358235120773, 0.9866310358047485, 0.9835796356201172
15, 0.0664023831486702, 0.10696101933717728, 0.9839572310447693, 0.9852216839790344
16, 0.05405614152550697, 0.11065736413002014, 0.9866310358047485, 0.977011501789093
17, 0.04224758595228195, 0.10127181559801102, 0.9935829043388367, 0.9819375872612
18, 0.03377678990364075, 0.09832680970430374, 0.9935829043388367, 0.977011501789093
19, 0.04609042778611183, 0.09952474385499954, 0.9914438724517822, 0.977011501789093
20, 0.03935332968831062, 0.10157501697540283, 0.9909090995788574, 0.9786535501480103
21, 0.029926722869277, 0.09873665124177933, 0.9941176176071167, 0.977011501789093
22, 0.04065777733922005, 0.09947957843542099, 0.9930481314659119, 0.9753694534301758
23, 0.03094763681292534, 0.09993532299995422, 0.9957219362258911, 0.9753694534301758
24, 0.022762387990951538, 0.10387373715639114, 0.9978609681129456, 0.9737274050712585
