Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.6933944225311279, 0.6931977868080139, 0.4941892623901367, 0.5015822649002075
2, 0.6932711005210876, 0.6931837201118469, 0.5069175362586975, 0.5015822649002075
3, 0.69325190782547, 0.6932176351547241, 0.5030437111854553, 0.5015822649002075
4, 0.6933124661445618, 0.6931769251823425, 0.49640288949012756, 0.5015822649002075
5, 0.6927170157432556, 0.693172812461853, 0.5107913613319397, 0.5015822649002075
6, 0.6931986212730408, 0.69325190782547, 0.5041505098342896, 0.5015822649002075
7, 0.6933720111846924, 0.6932804584503174, 0.5035971403121948, 0.5015822649002075
8, 0.6935408711433411, 0.6931891441345215, 0.4925290644168854, 0.5015822649002075
9, 0.6941869258880615, 0.6931893825531006, 0.5013834834098816, 0.5015822649002075
10, 0.6942970156669617, 0.6931458711624146, 0.47869396209716797, 0.5015822649002075
11, 0.6937682032585144, 0.6930223107337952, 0.4925290644168854, 0.5015822649002075
12, 0.6933708786964417, 0.6930335164070129, 0.5052573084831238, 0.5015822649002075
13, 0.6937652230262756, 0.693011462688446, 0.49086883664131165, 0.5015822649002075
14, 0.6937448978424072, 0.6928577423095703, 0.48588821291923523, 0.5015822649002075
15, 0.6930718421936035, 0.6925118565559387, 0.49972328543663025, 0.5490506291389465
16, 0.6919853091239929, 0.6911004185676575, 0.5307139158248901, 0.5458860993385315
17, 0.6885673403739929, 0.6895440816879272, 0.5473160147666931, 0.550632894039154
18, 0.688025176525116, 0.6894341707229614, 0.5534034371376038, 0.5490506291389465
19, 0.6861069798469543, 0.6886638402938843, 0.5534034371376038, 0.5443037748336792
20, 0.6833264231681824, 0.6883103251457214, 0.5611510872840881, 0.550632894039154
