Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.6961274743080139, 0.6528474688529968, 0.5511727333068848, 0.6758147478103638
2, 0.6459040641784668, 0.6187577247619629, 0.6247334480285645, 0.7118353247642517
3, 0.635334849357605, 0.593949556350708, 0.6305969953536987, 0.7135506272315979
4, 0.5841849446296692, 0.5654072165489197, 0.6849679946899414, 0.7324185371398926
5, 0.5352756381034851, 0.5418822765350342, 0.7212153673171997, 0.7255574464797974
6, 0.5022088289260864, 0.5208730697631836, 0.7478678226470947, 0.7409948706626892
7, 0.498218834400177, 0.5068007111549377, 0.751599133014679, 0.7547169923782349
8, 0.4808565080165863, 0.489940881729126, 0.7675906419754028, 0.7701543569564819
9, 0.4565095901489258, 0.4668795168399811, 0.7734541296958923, 0.7873070240020752
10, 0.4465961158275604, 0.44262999296188354, 0.7750533223152161, 0.8096054792404175
11, 0.3949408233165741, 0.40886184573173523, 0.8166311383247375, 0.833619236946106
12, 0.39495575428009033, 0.38633209466934204, 0.8219616413116455, 0.8507718443870544
13, 0.35119879245758057, 0.36403757333755493, 0.8470149040222168, 0.854202389717102
14, 0.3252227306365967, 0.33327117562294006, 0.861940324306488, 0.8867924809455872
15, 0.29354652762413025, 0.3089970052242279, 0.8885927796363831, 0.895368754863739
16, 0.2932005822658539, 0.2905091941356659, 0.8821961879730225, 0.9090909361839294
17, 0.26945579051971436, 0.2771732211112976, 0.8976545929908752, 0.9228130578994751
18, 0.24515944719314575, 0.2646823227405548, 0.9045842289924622, 0.9210977554321289
19, 0.23300503194332123, 0.2596074342727661, 0.9093816876411438, 0.9176672101020813
20, 0.2368326485157013, 0.24581508338451385, 0.918443500995636, 0.9313893914222717
