Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.7113336324691772, 0.6775498390197754, 0.5373134613037109, 0.5145797729492188
2, 0.6747633814811707, 0.6474351286888123, 0.583155632019043, 0.7066895365715027
3, 0.6411650776863098, 0.6170183420181274, 0.6332622766494751, 0.744425356388092
4, 0.611771285533905, 0.5827867984771729, 0.6535181403160095, 0.7804459929466248
5, 0.5805714726448059, 0.5590248107910156, 0.695095956325531, 0.7941681146621704
6, 0.5479915738105774, 0.5374327898025513, 0.7105543613433838, 0.8010291457176208
7, 0.5126681327819824, 0.5136922001838684, 0.7425373196601868, 0.8061749339103699
8, 0.5019388198852539, 0.48846152424812317, 0.75, 0.8147512674331665
9, 0.4660525918006897, 0.4656147360801697, 0.7830490469932556, 0.8164665699005127
10, 0.44258198142051697, 0.4416539967060089, 0.7931769490242004, 0.8267581462860107
11, 0.4143526554107666, 0.42245879769325256, 0.8022388219833374, 0.8319039344787598
12, 0.40155577659606934, 0.40444856882095337, 0.8081023693084717, 0.8473413586616516
13, 0.3720805048942566, 0.3810773491859436, 0.835287868976593, 0.8524871468544006
14, 0.3730647563934326, 0.36347562074661255, 0.8342217206954956, 0.8610634803771973
15, 0.3365122973918915, 0.34370723366737366, 0.8528784513473511, 0.8782161474227905
16, 0.31446728110313416, 0.3222719728946686, 0.8656716346740723, 0.8885077238082886
17, 0.3025982081890106, 0.3065093755722046, 0.8768656849861145, 0.8936535120010376
18, 0.2744767665863037, 0.29275959730148315, 0.8875266313552856, 0.9005146026611328
19, 0.26536795496940613, 0.2787254750728607, 0.8949893116950989, 0.8987993001937866
20, 0.244211345911026, 0.2654331624507904, 0.9083155393600464, 0.9073756337165833
21, 0.23897090554237366, 0.2536869943141937, 0.9024520516395569, 0.9056603908538818
22, 0.2178613692522049, 0.24258705973625183, 0.9152451753616333, 0.9142367243766785
23, 0.2308914065361023, 0.24086451530456543, 0.9115138649940491, 0.9090909361839294
24, 0.20019303262233734, 0.23243090510368347, 0.9269722700119019, 0.9125214219093323
25, 0.20027539134025574, 0.2271583527326584, 0.9275053143501282, 0.9176672101020813
26, 0.18927037715911865, 0.22301961481571198, 0.9333688616752625, 0.9210977554321289
27, 0.1920386403799057, 0.2197476625442505, 0.9264392256736755, 0.9228130578994751
28, 0.16837073862552643, 0.21294204890727997, 0.9440298676490784, 0.9193825125694275
29, 0.1582435965538025, 0.2084462195634842, 0.9461620450019836, 0.9262435436248779
30, 0.16069801151752472, 0.20941218733787537, 0.9440298676490784, 0.9262435436248779
