Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.6939395070075989, 0.693060040473938, 0.5046422481536865, 0.5714285969734192
2, 0.6927679777145386, 0.6928101778030396, 0.5084652900695801, 0.5064935088157654
3, 0.6927843689918518, 0.6917420625686646, 0.5024576783180237, 0.5930736064910889
4, 0.6923563480377197, 0.6901967525482178, 0.495903879404068, 0.5909090638160706
5, 0.6883330345153809, 0.6867702007293701, 0.5603495240211487, 0.5930736064910889
6, 0.6858625411987305, 0.68423992395401, 0.5800109505653381, 0.588744580745697
7, 0.682600200176239, 0.6808937191963196, 0.5718186497688293, 0.588744580745697
8, 0.6835862994194031, 0.6805053949356079, 0.5647187232971191, 0.5822510719299316
9, 0.6804124116897583, 0.6793854236602783, 0.5772801637649536, 0.5735930800437927
10, 0.680145800113678, 0.6794117093086243, 0.5701802372932434, 0.6038960814476013
11, 0.6784072518348694, 0.6798447966575623, 0.5800109505653381, 0.5930736064910889
12, 0.6730855107307434, 0.6789379119873047, 0.5942108035087585, 0.6038960814476013
13, 0.6708518266677856, 0.6805705428123474, 0.5914800763130188, 0.5714285969734192
14, 0.6686757802963257, 0.6810133457183838, 0.6062260866165161, 0.551948070526123
15, 0.6646589040756226, 0.6824404001235962, 0.5974876880645752, 0.5476190447807312
16, 0.6610578894615173, 0.6811076402664185, 0.5925723910331726, 0.5714285969734192
17, 0.6571212410926819, 0.6836236119270325, 0.6062260866165161, 0.5411255359649658
18, 0.6474354863166809, 0.6841350793838501, 0.631895124912262, 0.5476190447807312
19, 0.6521815061569214, 0.6922328472137451, 0.6204259991645813, 0.5259740352630615
20, 0.6384661197662354, 0.6899592280387878, 0.6373566389083862, 0.5432900190353394
