Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.7118794322013855, 0.6619933843612671, 0.5155913829803467, 0.6884210705757141
2, 0.6791627407073975, 0.6335977911949158, 0.5639784932136536, 0.7200000286102295
3, 0.6324020624160767, 0.6019667387008667, 0.6397849321365356, 0.7263157963752747
4, 0.600796103477478, 0.5732914805412292, 0.6682795882225037, 0.7326315641403198
5, 0.5571868419647217, 0.5464293360710144, 0.7091397643089294, 0.7515789270401001
6, 0.5259732007980347, 0.5285221338272095, 0.7333333492279053, 0.7621052861213684
7, 0.53089439868927, 0.5148532390594482, 0.7252688407897949, 0.7684210538864136
8, 0.5119905471801758, 0.5050776600837708, 0.7381720542907715, 0.7789473533630371
9, 0.4946241080760956, 0.48935848474502563, 0.7526881694793701, 0.7873684167861938
10, 0.49108049273490906, 0.47129544615745544, 0.7569892406463623, 0.7915789484977722
11, 0.4657129943370819, 0.4580076336860657, 0.7779569625854492, 0.7978947162628174
12, 0.45316895842552185, 0.44593408703804016, 0.7806451320648193, 0.8063157796859741
13, 0.44134125113487244, 0.4320690333843231, 0.7827957272529602, 0.8126316070556641
14, 0.44079071283340454, 0.42819905281066895, 0.7876344323158264, 0.821052610874176
15, 0.4162895679473877, 0.41864779591560364, 0.8112903237342834, 0.8336842060089111
16, 0.40520739555358887, 0.40349680185317993, 0.8177419304847717, 0.8336842060089111
17, 0.3821302056312561, 0.38285836577415466, 0.8338709473609924, 0.8589473962783813
18, 0.38299810886383057, 0.3670600354671478, 0.8322580456733704, 0.87578946352005
19, 0.35764339566230774, 0.34773942828178406, 0.8349462151527405, 0.8863157629966736
20, 0.3380613923072815, 0.3266047239303589, 0.851075291633606, 0.8968421220779419
21, 0.33455196022987366, 0.3058432340621948, 0.8634408712387085, 0.9115789532661438
22, 0.3085317015647888, 0.294819176197052, 0.8720430135726929, 0.9115789532661438
23, 0.29013320803642273, 0.2813694179058075, 0.874731183052063, 0.9157894849777222
24, 0.28148332238197327, 0.266360878944397, 0.8827956914901733, 0.9157894849777222
