Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.7283934950828552, 0.6750769019126892, 0.5064516067504883, 0.5821287631988525
2, 0.6788482069969177, 0.6420986652374268, 0.5801075100898743, 0.704336404800415
3, 0.6409059166908264, 0.6165063381195068, 0.6387096643447876, 0.7148488759994507
4, 0.6326094269752502, 0.5973475575447083, 0.6365591287612915, 0.7345597743988037
5, 0.6028639078140259, 0.5786316990852356, 0.6682795882225037, 0.7739816308021545
6, 0.5728237628936768, 0.5580167770385742, 0.6919354796409607, 0.7674112915992737
7, 0.5420887470245361, 0.5355510711669922, 0.7306451797485352, 0.8068330883979797
8, 0.5071893334388733, 0.5079655051231384, 0.7526881694793701, 0.8291721343994141
9, 0.48390910029411316, 0.4728180170059204, 0.7682795524597168, 0.8291721343994141
10, 0.4504394829273224, 0.4438040256500244, 0.7924731373786926, 0.8318002820014954
11, 0.43937355279922485, 0.42000019550323486, 0.7951613068580627, 0.8357424736022949
12, 0.41049739718437195, 0.39054664969444275, 0.8145161271095276, 0.8501971364021301
13, 0.3886346220970154, 0.37588757276535034, 0.823118269443512, 0.8475689888000488
14, 0.3600403964519501, 0.35708087682724, 0.8435483574867249, 0.8580814599990845
15, 0.3376925587654114, 0.34110161662101746, 0.8623656034469604, 0.8672798871994019
16, 0.31653645634651184, 0.32184112071990967, 0.8677419424057007, 0.875164270401001
17, 0.32249805331230164, 0.3113727867603302, 0.8698924779891968, 0.8869907855987549
18, 0.3112289607524872, 0.2963511347770691, 0.8720430135726929, 0.9040735960006714
19, 0.2946796417236328, 0.280555784702301, 0.8844085931777954, 0.9119579792022705
20, 0.26117539405822754, 0.27062973380088806, 0.9010752439498901, 0.9198423027992249
21, 0.25381770730018616, 0.25945788621902466, 0.9037634134292603, 0.9185282588005066
22, 0.2361651211977005, 0.2503971755504608, 0.9037634134292603, 0.9211563467979431
23, 0.23668408393859863, 0.24162934720516205, 0.9150537848472595, 0.9264126420021057
24, 0.21827362477779388, 0.23240303993225098, 0.9177419543266296, 0.9290407299995422
