Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.28958576917648315, 0.12675441801548004, 0.9000537395477295, 0.9846153855323792
2, 0.12000304460525513, 0.09375794976949692, 0.965072512626648, 0.9846153855323792
3, 0.09944405406713486, 0.07082110643386841, 0.9763568043708801, 0.9846153855323792
4, 0.07656735926866531, 0.06566083431243896, 0.9828049540519714, 0.9846153855323792
5, 0.05149005725979805, 0.061886612325906754, 0.9865663647651672, 0.9846153855323792
6, 0.05436491221189499, 0.055611904710531235, 0.9860290288925171, 0.9846153855323792
7, 0.047405440360307693, 0.05817248299717903, 0.9871037006378174, 0.9846153855323792
8, 0.04610169678926468, 0.06096233054995537, 0.9887157678604126, 0.9824175834655762
9, 0.03766759857535362, 0.053643859922885895, 0.9881783723831177, 0.9846153855323792
10, 0.034259647130966187, 0.06035705283284187, 0.9924771785736084, 0.9802197813987732
