Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.69353187084198, 0.6936737895011902, 0.4935483932495117, 0.4547368288040161
2, 0.6928801536560059, 0.6954315304756165, 0.5091397762298584, 0.4547368288040161
3, 0.692802369594574, 0.696063756942749, 0.5107526779174805, 0.4547368288040161
4, 0.6930254697799683, 0.6955865621566772, 0.5096774101257324, 0.4547368288040161
5, 0.6931584477424622, 0.6954823732376099, 0.5096774101257324, 0.4547368288040161
6, 0.6928813457489014, 0.695583164691925, 0.5102150440216064, 0.4547368288040161
7, 0.692959189414978, 0.6956964135169983, 0.5075268745422363, 0.4547368288040161
8, 0.6935476660728455, 0.6952981352806091, 0.5129032135009766, 0.4547368288040161
9, 0.6921349763870239, 0.6942965984344482, 0.5118279457092285, 0.4547368288040161
10, 0.6809561848640442, 0.6732286214828491, 0.5107526779174805, 0.4547368288040161
11, 0.6408147215843201, 0.6365227699279785, 0.5688171982765198, 0.7010526061058044
12, 0.617625892162323, 0.6126477122306824, 0.6951612830162048, 0.7136842012405396
13, 0.6034139394760132, 0.5948420763015747, 0.699462354183197, 0.7115789651870728
14, 0.5939367413520813, 0.5798085927963257, 0.7043010592460632, 0.7178947329521179
15, 0.5858283042907715, 0.5670751929283142, 0.6946236491203308, 0.7347368597984314
16, 0.5708063840866089, 0.553644597530365, 0.7048386931419373, 0.7515789270401001
17, 0.5650724172592163, 0.541533350944519, 0.7010752558708191, 0.7494736909866333
18, 0.5569829940795898, 0.5382161736488342, 0.7053763270378113, 0.7473683953285217
19, 0.5317645072937012, 0.512856662273407, 0.725806474685669, 0.7494736909866333
20, 0.5088006258010864, 0.4838949739933014, 0.7462365627288818, 0.8042105436325073
