Filename, Number of Infected, Total Number, Infection Percentage
Verilog3/Infected/Inf_gate_level_417_in4_out8_gates44.v, 6684, 61248, 0.10913009404388714
Verilog3/Infected/Inf_gate_level_642_in8_out8_gates11.v, 2991, 21473, 0.13929120290597494
Verilog3/Infected/Inf_gate_level_280_in4_out2_gates23.v, 2083, 28373, 0.07341486624607901
Verilog3/Infected/Inf_gate_level_444_in4_out16_gates23.v, 2036, 42487, 0.047920540400593126
Verilog3/Infected/Inf_gate_level_838_in16_out4_gates5.v, 3140, 11644, 0.269666781174854
Verilog3/Infected/Inf_gate_level_272_in4_out2_gates15.v, 2014, 20412, 0.09866745051930237
Verilog3/Infected/Inf_gate_level_398_in4_out8_gates25.v, 1967, 37006, 0.053153542668756416
Verilog3/Infected/Inf_gate_level_729_in8_out16_gates50.v, 3091, 71108, 0.04346908927265568
Verilog3/Infected/Inf_gate_level_670_in8_out8_gates39.v, 1929, 49924, 0.0386387308709238
Verilog3/Infected/Inf_gate_level_19_in2_out2_gates20.v, 2866, 26518, 0.10807753224225054
Verilog3/Infected/Inf_gate_level_657_in8_out8_gates26.v, 3303, 37768, 0.08745498834992586
Verilog3/Infected/Inf_gate_level_1181_in32_out8_gates34.v, 2905, 46111, 0.06300015180759472
Verilog3/Infected/Inf_gate_level_1455_in64_out8_gates50.v, 2698, 63340, 0.04259551626144616
Verilog3/Infected/Inf_gate_level_1089_in32_out2_gates58.v, 2928, 67066, 0.04365848567083172
Verilog3/Infected/Inf_gate_level_611_in8_out4_gates36.v, 6259, 46747, 0.1338909448734678
Verilog3/Infected/Inf_gate_level_508_in4_out32_gates55.v, 3081, 95314, 0.032324737184463985
Verilog3/Infected/Inf_gate_level_1121_in32_out4_gates30.v, 2876, 38982, 0.0737776409624955
Verilog3/Infected/Inf_gate_level_1364_in64_out4_gates15.v, 2839, 22024, 0.1289048310933527
Verilog3/Infected/Inf_gate_level_1167_in32_out8_gates20.v, 3273, 31944, 0.10246055597295267
Verilog3/Infected/Inf_gate_level_428_in4_out8_gates55.v, 2067, 69711, 0.02965098764900805
Verilog3/Infected/Inf_gate_level_38_in2_out2_gates39.v, 3065, 48075, 0.06375455018200728
Verilog3/Infected/Inf_gate_level_589_in8_out4_gates14.v, 2126, 19678, 0.10803943490192093
Verilog3/Infected/Inf_gate_level_139_in2_out8_gates24.v, 2151, 36099, 0.05958613812016953
Verilog3/Infected/Inf_gate_level_935_in16_out8_gates46.v, 2974, 59394, 0.05007239788530828
Verilog3/Infected/Inf_gate_level_1416_in64_out8_gates11.v, 2139, 20887, 0.10240819648585245
Verilog3/Infected/Inf_gate_level_521_in8_out2_gates6.v, 1972, 9503, 0.2075134168157424
Verilog3/Infected/Inf_gate_level_75_in2_out4_gates16.v, 2105, 23378, 0.09004191975361452
Verilog3/Infected/Inf_gate_level_242_in2_out32_gates47.v, 2180, 86739, 0.025132869873989785
Verilog3/Infected/Inf_gate_level_495_in4_out32_gates42.v, 2899, 81905, 0.03539466455039375
Verilog3/Infected/Inf_gate_level_226_in2_out16_gates63.v, 2924, 87506, 0.03341485155303636
Verilog3/Infected/Inf_gate_level_383_in4_out8_gates10.v, 3102, 21346, 0.14531996627002716
Verilog3/Infected/Inf_gate_level_513_in4_out32_gates60.v, 1963, 99935, 0.019642767799069396
Verilog3/Infected/Inf_gate_level_697_in8_out16_gates18.v, 2884, 36668, 0.07865168539325842
Verilog3/Infected/Inf_gate_level_167_in2_out8_gates52.v, 4019, 68446, 0.05871782134821611
Verilog3/Infected/Inf_gate_level_469_in4_out16_gates48.v, 3011, 70211, 0.04288501801711982
Verilog3/Infected/Inf_gate_level_1337_in64_out2_gates48.v, 2987, 57215, 0.05220658918115879
Verilog3/Infected/Inf_gate_level_1032_in16_out32_gates63.v, 2908, 101916, 0.028533301934926803
Verilog3/Infected/Inf_gate_level_368_in4_out4_gates51.v, 3048, 62501, 0.04876721972448441
Verilog3/Infected/Inf_gate_level_283_in4_out2_gates26.v, 2782, 33249, 0.08367168937411651
Verilog3/Infected/Inf_gate_level_704_in8_out16_gates25.v, 2096, 42649, 0.04914534924617224
Verilog3/Infected/Inf_gate_level_1052_in32_out2_gates21.v, 2811, 27312, 0.10292179261862917
Verilog3/Infected/Inf_gate_level_219_in2_out16_gates56.v, 2153, 78133, 0.027555578308781182
Verilog3/Infected/Inf_gate_level_550_in8_out2_gates35.v, 3047, 41810, 0.07287730208084191
Verilog3/Infected/Inf_gate_level_1297_in64_out2_gates8.v, 2776, 12504, 0.2220089571337172
Verilog3/Infected/Inf_gate_level_839_in16_out4_gates6.v, 2061, 11403, 0.18074191002367798
Verilog3/Infected/Inf_gate_level_47_in2_out2_gates48.v, 3153, 57377, 0.05495233281628527
Verilog3/Infected/Inf_gate_level_201_in2_out16_gates38.v, 6626, 62094, 0.10670918285180533
Verilog3/Infected/Inf_gate_level_909_in16_out8_gates20.v, 2079, 30211, 0.06881599417430737
Verilog3/Infected/Inf_gate_level_350_in4_out4_gates33.v, 2783, 43131, 0.06452435603162458
Verilog3/Infected/Inf_gate_level_33_in2_out2_gates34.v, 1986, 41109, 0.048310588922133836
Verilog3/Infected/Inf_gate_level_674_in8_out8_gates43.v, 2946, 56845, 0.05182513853461166
Verilog3/Infected/Inf_gate_level_603_in8_out4_gates28.v, 2034, 35697, 0.056979578115808054
Verilog3/Infected/Inf_gate_level_1117_in32_out4_gates26.v, 3127, 34562, 0.09047508824720792
Verilog3/Infected/Inf_gate_level_597_in8_out4_gates22.v, 2961, 29653, 0.09985498937712879
Verilog3/Infected/Inf_gate_level_975_in16_out16_gates38.v, 2026, 56441, 0.035895891284704384
Verilog3/Infected/Inf_gate_level_79_in2_out4_gates20.v, 3133, 29085, 0.10771875537218498
Verilog3/Infected/Inf_gate_level_1067_in32_out2_gates36.v, 2073, 42643, 0.04861290246933846
Verilog3/Infected/Inf_gate_level_807_in16_out2_gates34.v, 2916, 40903, 0.0712906143803633
Verilog3/Infected/Inf_gate_level_1046_in32_out2_gates15.v, 1954, 20055, 0.0974320618299676
