Filename, Number of Infected, Total Number, Infection Percentage
NORVerilog3/Infected/Inf_gate_level_67_NOR.v, 13, 33, 0.3939393939393939
NORVerilog3/Infected/Inf_gate_level_553_NOR.v, 9, 118, 0.07627118644067797
NORVerilog3/Infected/Inf_gate_level_848_NOR.v, 4, 46, 0.08695652173913043
NORVerilog3/Infected/Inf_gate_level_1494_NOR.v, 9, 151, 0.059602649006622516
NORVerilog3/Infected/Inf_gate_level_1393_NOR.v, 6, 144, 0.041666666666666664
NORVerilog3/Infected/Inf_gate_level_340_NOR.v, 8, 78, 0.10256410256410256
NORVerilog3/Infected/Inf_gate_level_1503_NOR.v, 15, 181, 0.08287292817679558
NORVerilog3/Infected/Inf_gate_level_841_NOR.v, 9, 39, 0.23076923076923078
NORVerilog3/Infected/Inf_gate_level_106_NOR.v, 12, 157, 0.07643312101910828
NORVerilog3/Infected/Inf_gate_level_846_NOR.v, 9, 47, 0.19148936170212766
NORVerilog3/Infected/Inf_gate_level_1521_NOR.v, 9, 110, 0.08181818181818182
NORVerilog3/Infected/Inf_gate_level_932_NOR.v, 8, 146, 0.0547945205479452
NORVerilog3/Infected/Inf_gate_level_600_NOR.v, 7, 84, 0.08333333333333333
NORVerilog3/Infected/Inf_gate_level_320_NOR.v, 11, 210, 0.05238095238095238
NORVerilog3/Infected/Inf_gate_level_30_NOR.v, 5, 97, 0.05154639175257732
NORVerilog3/Infected/Inf_gate_level_795_NOR.v, 4, 64, 0.0625
NORVerilog3/Infected/Inf_gate_level_411_NOR.v, 16, 141, 0.11347517730496454
NORVerilog3/Infected/Inf_gate_level_1011_NOR.v, 10, 150, 0.06666666666666667
NORVerilog3/Infected/Inf_gate_level_1416_NOR.v, 4, 38, 0.10526315789473684
NORVerilog3/Infected/Inf_gate_level_473_NOR.v, 12, 172, 0.06976744186046512
NORVerilog3/Infected/Inf_gate_level_822_NOR.v, 12, 164, 0.07317073170731707
NORVerilog3/Infected/Inf_gate_level_1219_NOR.v, 4, 76, 0.05263157894736842
NORVerilog3/Infected/Inf_gate_level_112_NOR.v, 11, 172, 0.06395348837209303
NORVerilog3/Infected/Inf_gate_level_1374_NOR.v, 8, 86, 0.09302325581395349
NORVerilog3/Infected/Inf_gate_level_858_NOR.v, 7, 82, 0.08536585365853659
NORVerilog3/Infected/Inf_gate_level_1373_NOR.v, 8, 78, 0.10256410256410256
NORVerilog3/Infected/Inf_gate_level_758_NOR.v, 8, 159, 0.050314465408805034
NORVerilog3/Infected/Inf_gate_level_361_NOR.v, 5, 148, 0.033783783783783786
NORVerilog3/Infected/Inf_gate_level_830_NOR.v, 11, 186, 0.05913978494623656
NORVerilog3/Infected/Inf_gate_level_501_NOR.v, 5, 149, 0.03355704697986577
NORVerilog3/Infected/Inf_gate_level_743_NOR.v, 7, 83, 0.08433734939759036
NORVerilog3/Infected/Inf_gate_level_929_NOR.v, 7, 123, 0.056910569105691054
NORVerilog3/Infected/Inf_gate_level_1027_NOR.v, 8, 195, 0.041025641025641026
