Filename, Number of Infected, Total Number, Infection Percentage
NORVerilog2/Infected/Inf_gate_level_20245_NOR.v, 4, 597, 0.006700167504187605
NORVerilog2/Infected/Inf_gate_level_10773_NOR.v, 4, 1043, 0.003835091083413231
NORVerilog2/Infected/Inf_gate_level_3186_NOR.v, 4, 1196, 0.0033444816053511705
NORVerilog2/Infected/Inf_gate_level_48525_NOR.v, 4, 2041, 0.0019598236158745713
NORVerilog2/Infected/Inf_gate_level_2055_NOR.v, 4, 1932, 0.002070393374741201
NORVerilog2/Infected/Inf_gate_level_9696_NOR.v, 4, 902, 0.004434589800443459
NORVerilog2/Infected/Inf_gate_level_31852_NOR.v, 4, 1381, 0.002896451846488052
NORVerilog2/Infected/Inf_gate_level_41508_NOR.v, 4, 1227, 0.0032599837000814994
NORVerilog2/Infected/Inf_gate_level_5160_NOR.v, 4, 1642, 0.00243605359317905
NORVerilog2/Infected/Inf_gate_level_39317_NOR.v, 4, 1705, 0.002346041055718475
NORVerilog2/Infected/Inf_gate_level_19664_NOR.v, 4, 1716, 0.002331002331002331
NORVerilog2/Infected/Inf_gate_level_43123_NOR.v, 4, 1950, 0.0020512820512820513
NORVerilog2/Infected/Inf_gate_level_19977_NOR.v, 4, 1477, 0.002708192281651997
NORVerilog2/Infected/Inf_gate_level_11301_NOR.v, 4, 954, 0.0041928721174004195
NORVerilog2/Infected/Inf_gate_level_45792_NOR.v, 4, 356, 0.011235955056179775
NORVerilog2/Infected/Inf_gate_level_23001_NOR.v, 4, 1574, 0.0025412960609911056
NORVerilog2/Infected/Inf_gate_level_39379_NOR.v, 4, 925, 0.004324324324324324
NORVerilog2/Infected/Inf_gate_level_23186_NOR.v, 4, 1246, 0.0032102728731942215
NORVerilog2/Infected/Inf_gate_level_6562_NOR.v, 4, 1713, 0.002335084646818447
NORVerilog2/Infected/Inf_gate_level_25704_NOR.v, 4, 1475, 0.002711864406779661
NORVerilog2/Infected/Inf_gate_level_46450_NOR.v, 4, 2059, 0.001942690626517727
NORVerilog2/Infected/Inf_gate_level_44666_NOR.v, 4, 1525, 0.002622950819672131
NORVerilog2/Infected/Inf_gate_level_26088_NOR.v, 4, 1636, 0.0024449877750611247
NORVerilog2/Infected/Inf_gate_level_43422_NOR.v, 4, 463, 0.008639308855291577
NORVerilog2/Infected/Inf_gate_level_14019_NOR.v, 4, 1028, 0.0038910505836575876
NORVerilog2/Infected/Inf_gate_level_16237_NOR.v, 4, 1529, 0.002616088947024199
NORVerilog2/Infected/Inf_gate_level_19761_NOR.v, 4, 920, 0.004347826086956522
NORVerilog2/Infected/Inf_gate_level_35619_NOR.v, 4, 1060, 0.0037735849056603774
NORVerilog2/Infected/Inf_gate_level_40906_NOR.v, 4, 1907, 0.002097535395909806
NORVerilog2/Infected/Inf_gate_level_42197_NOR.v, 4, 2082, 0.0019212295869356388
NORVerilog2/Infected/Inf_gate_level_29976_NOR.v, 4, 590, 0.006779661016949152
NORVerilog2/Infected/Inf_gate_level_33153_NOR.v, 4, 1849, 0.002163331530557058
NORVerilog2/Infected/Inf_gate_level_25721_NOR.v, 4, 1420, 0.0028169014084507044
NORVerilog2/Infected/Inf_gate_level_45571_NOR.v, 4, 1927, 0.0020757654385054488
NORVerilog2/Infected/Inf_gate_level_39157_NOR.v, 4, 1443, 0.002772002772002772
NORVerilog2/Infected/Inf_gate_level_39014_NOR.v, 4, 1676, 0.002386634844868735
NORVerilog2/Infected/Inf_gate_level_26932_NOR.v, 4, 510, 0.00784313725490196
NORVerilog2/Infected/Inf_gate_level_29734_NOR.v, 4, 1396, 0.0028653295128939827
NORVerilog2/Infected/Inf_gate_level_1823_NOR.v, 4, 1168, 0.003424657534246575
NORVerilog2/Infected/Inf_gate_level_32261_NOR.v, 4, 1932, 0.002070393374741201
NORVerilog2/Infected/Inf_gate_level_31646_NOR.v, 4, 2039, 0.00196174595389897
NORVerilog2/Infected/Inf_gate_level_18691_NOR.v, 4, 899, 0.004449388209121246
NORVerilog2/Infected/Inf_gate_level_14838_NOR.v, 4, 1646, 0.002430133657351154
NORVerilog2/Infected/Inf_gate_level_14963_NOR.v, 4, 1686, 0.002372479240806643
NORVerilog2/Infected/Inf_gate_level_37280_NOR.v, 4, 1666, 0.0024009603841536613
NORVerilog2/Infected/Inf_gate_level_29905_NOR.v, 4, 1465, 0.0027303754266211604
NORVerilog2/Infected/Inf_gate_level_31130_NOR.v, 4, 609, 0.006568144499178982
NORVerilog2/Infected/Inf_gate_level_24137_NOR.v, 4, 1343, 0.0029784065524944155
NORVerilog2/Infected/Inf_gate_level_46873_NOR.v, 4, 1523, 0.0026263952724885093
NORVerilog2/Infected/Inf_gate_level_39493_NOR.v, 4, 729, 0.0054869684499314125
NORVerilog2/Infected/Inf_gate_level_46388_NOR.v, 4, 1349, 0.0029651593773165306
NORVerilog2/Infected/Inf_gate_level_51614_NOR.v, 4, 2046, 0.0019550342130987292
NORVerilog2/Infected/Inf_gate_level_25144_NOR.v, 4, 1343, 0.0029784065524944155
NORVerilog2/Infected/Inf_gate_level_25570_NOR.v, 4, 1451, 0.0027567195037904893
NORVerilog2/Infected/Inf_gate_level_25516_NOR.v, 4, 1657, 0.0024140012070006035
NORVerilog2/Infected/Inf_gate_level_10641_NOR.v, 4, 1342, 0.0029806259314456036
