Filename, Number of Infected, Total Number, Infection Percentage
NORVerilog3/Infected/Inf_gate_level_879_NOR.v, 23525, 190106, 0.12374675181214691
NORVerilog3/Infected/Inf_gate_level_1388_NOR.v, 10047, 153142, 0.06560577764427786
NORVerilog3/Infected/Inf_gate_level_49_NOR.v, 6958, 186058, 0.037396940738909375
NORVerilog3/Infected/Inf_gate_level_1366_NOR.v, 6577, 62967, 0.10445153810726253
NORVerilog3/Infected/Inf_gate_level_1113_NOR.v, 8893, 71365, 0.12461290548588244
NORVerilog3/Infected/Inf_gate_level_40_NOR.v, 19367, 170172, 0.11380838210751475
NORVerilog3/Infected/Inf_gate_level_964_NOR.v, 7341, 115506, 0.06355513999272765
NORVerilog3/Infected/Inf_gate_level_1415_NOR.v, 5465, 44107, 0.12390323531412248
NORVerilog3/Infected/Inf_gate_level_295_NOR.v, 13623, 139400, 0.09772596843615496
NORVerilog3/Infected/Inf_gate_level_694_NOR.v, 9873, 263423, 0.03747964300763411
NORVerilog3/Infected/Inf_gate_level_1152_NOR.v, 6648, 233762, 0.02843918173184692
NORVerilog3/Infected/Inf_gate_level_1158_NOR.v, 13302, 47262, 0.2814523295670941
NORVerilog3/Infected/Inf_gate_level_715_NOR.v, 13301, 144745, 0.09189263877854158
NORVerilog3/Infected/Inf_gate_level_274_NOR.v, 10252, 68309, 0.15008271238050622
NORVerilog3/Infected/Inf_gate_level_351_NOR.v, 6478, 118871, 0.054496050340284846
NORVerilog3/Infected/Inf_gate_level_1303_NOR.v, 6593, 54880, 0.12013483965014578
NORVerilog3/Infected/Inf_gate_level_1526_NOR.v, 4317, 191510, 0.022541903817033054
NORVerilog3/Infected/Inf_gate_level_257_NOR.v, 8857, 253581, 0.034927695686979704
NORVerilog3/Infected/Inf_gate_level_354_NOR.v, 18234, 159858, 0.11406373156176107
NORVerilog3/Infected/Inf_gate_level_383_NOR.v, 10697, 52762, 0.2027406087714643
NORVerilog3/Infected/Inf_gate_level_759_NOR.v, 11434, 211543, 0.05405047673522641
NORVerilog3/Infected/Inf_gate_level_335_NOR.v, 8580, 78402, 0.10943598377592409
NORVerilog3/Infected/Inf_gate_level_240_NOR.v, 7661, 192958, 0.03970294053628251
NORVerilog3/Infected/Inf_gate_level_1009_NOR.v, 5802, 183215, 0.03166771279644134
NORVerilog3/Infected/Inf_gate_level_796_NOR.v, 14304, 94641, 0.15113956953117572
NORVerilog3/Infected/Inf_gate_level_244_NOR.v, 7721, 200766, 0.03845770698225795
NORVerilog3/Infected/Inf_gate_level_1091_NOR.v, 7757, 213494, 0.03633357377724901
NORVerilog3/Infected/Inf_gate_level_1176_NOR.v, 8273, 116941, 0.07074507657707733
NORVerilog3/Infected/Inf_gate_level_1281_NOR.v, 8597, 218895, 0.03927453802051212
NORVerilog3/Infected/Inf_gate_level_1406_NOR.v, 21264, 224857, 0.09456676910214047
NORVerilog3/Infected/Inf_gate_level_381_NOR.v, 13435, 45899, 0.29270790213294406
NORVerilog3/Infected/Inf_gate_level_975_NOR.v, 4405, 154968, 0.028425223271901296
NORVerilog3/Infected/Inf_gate_level_809_NOR.v, 10383, 116753, 0.08893133367022689
NORVerilog3/Infected/Inf_gate_level_387_NOR.v, 12335, 72725, 0.16961155036094877
NORVerilog3/Infected/Inf_gate_level_1005_NOR.v, 11151, 173847, 0.06414260815544703
NORVerilog3/Infected/Inf_gate_level_928_NOR.v, 6683, 143471, 0.04658084212140433
NORVerilog3/Infected/Inf_gate_level_1323_NOR.v, 9374, 131924, 0.0710560625814863
NORVerilog3/Infected/Inf_gate_level_1099_NOR.v, 8908, 39421, 0.2259709292001725
NORVerilog3/Infected/Inf_gate_level_353_NOR.v, 12927, 134092, 0.0964039614592966
NORVerilog3/Infected/Inf_gate_level_504_NOR.v, 13154, 202633, 0.06491538890506482
NORVerilog3/Infected/Inf_gate_level_604_NOR.v, 5307, 95373, 0.0556446793117549
NORVerilog3/Infected/Inf_gate_level_1114_NOR.v, 13061, 93562, 0.13959727239691327
NORVerilog3/Infected/Inf_gate_level_477_NOR.v, 12398, 221899, 0.0558722662112042
NORVerilog3/Infected/Inf_gate_level_655_NOR.v, 6541, 98215, 0.0665987883724482
NORVerilog3/Infected/Inf_gate_level_276_NOR.v, 8727, 71834, 0.12148843166188712
NORVerilog3/Infected/Inf_gate_level_1446_NOR.v, 8879, 160742, 0.055237585696333254
NORVerilog3/Infected/Inf_gate_level_266_NOR.v, 12958, 47244, 0.2742782152230971
NORVerilog3/Infected/Inf_gate_level_165_NOR.v, 15333, 197334, 0.07770075101097632
NORVerilog3/Infected/Inf_gate_level_413_NOR.v, 5270, 134263, 0.03925132017011388
NORVerilog3/Infected/Inf_gate_level_612_NOR.v, 8495, 159637, 0.05321448035229928
NORVerilog3/Infected/Inf_gate_level_744_NOR.v, 7066, 150941, 0.04681299315626636
NORVerilog3/Infected/Inf_gate_level_1216_NOR.v, 12945, 89050, 0.14536777091521616
NORVerilog3/Infected/Inf_gate_level_420_NOR.v, 7467, 178267, 0.04188660828981247
NORVerilog3/Infected/Inf_gate_level_78_NOR.v, 14441, 73087, 0.1975864380806436
NORVerilog3/Infected/Inf_gate_level_1328_NOR.v, 7103, 138198, 0.051397270582787015
NORVerilog3/Infected/Inf_gate_level_1421_NOR.v, 14462, 71039, 0.20357831613620686
NORVerilog3/Infected/Inf_gate_level_385_NOR.v, 4511, 55974, 0.08059098867331262
NORVerilog3/Infected/Inf_gate_level_1060_NOR.v, 10134, 116993, 0.08662056704247263
NORVerilog3/Infected/Inf_gate_level_149_NOR.v, 6790, 118244, 0.05742363248875207
NORVerilog3/Infected/Inf_gate_level_368_NOR.v, 9077, 192218, 0.047222424538804895
NORVerilog3/Infected/Inf_gate_level_115_NOR.v, 8776, 202599, 0.0433170943588073
NORVerilog3/Infected/Inf_gate_level_919_NOR.v, 9952, 108301, 0.09189204162473108
NORVerilog3/Infected/Inf_gate_level_252_NOR.v, 12072, 245135, 0.049246333652885145
NORVerilog3/Infected/Inf_gate_level_891_NOR.v, 11091, 230936, 0.04802629299892611
NORVerilog3/Infected/Inf_gate_level_25_NOR.v, 5755, 92952, 0.0619136758757208
NORVerilog3/Infected/Inf_gate_level_983_NOR.v, 10007, 184142, 0.05434393022775901
NORVerilog3/Infected/Inf_gate_level_1443_NOR.v, 14183, 150264, 0.09438721184049406
NORVerilog3/Infected/Inf_gate_level_1025_NOR.v, 5610, 222645, 0.02519706258842552
NORVerilog3/Infected/Inf_gate_level_1456_NOR.v, 5269, 176729, 0.029814009019459173
NORVerilog3/Infected/Inf_gate_level_451_NOR.v, 9835, 138518, 0.07100160267979613
NORVerilog3/Infected/Inf_gate_level_771_NOR.v, 5533, 245613, 0.02252730922223172
NORVerilog3/Infected/Inf_gate_level_1024_NOR.v, 14355, 230162, 0.0623691139284504
NORVerilog3/Infected/Inf_gate_level_1160_NOR.v, 10231, 62022, 0.16495759569185128
NORVerilog3/Infected/Inf_gate_level_894_NOR.v, 10475, 220238, 0.047562182729592534
NORVerilog3/Infected/Inf_gate_level_52_NOR.v, 7681, 176227, 0.04358582964017999
NORVerilog3/Infected/Inf_gate_level_906_NOR.v, 6615, 71590, 0.09240117334823299
NORVerilog3/Infected/Inf_gate_level_1096_NOR.v, 8964, 25368, 0.3533585619678335
NORVerilog3/Infected/Inf_gate_level_445_NOR.v, 10000, 114346, 0.08745386808458538
NORVerilog3/Infected/Inf_gate_level_1248_NOR.v, 7855, 191966, 0.040918704353896
NORVerilog3/Infected/Inf_gate_level_1520_NOR.v, 7190, 159581, 0.04505548906198106
NORVerilog3/Infected/Inf_gate_level_289_NOR.v, 10129, 119405, 0.08482894351157824
NORVerilog3/Infected/Inf_gate_level_177_NOR.v, 5490, 206376, 0.026601930457029885
NORVerilog3/Infected/Inf_gate_level_530_NOR.v, 14732, 55504, 0.26542231190544824
NORVerilog3/Infected/Inf_gate_level_317_NOR.v, 9401, 220611, 0.04261346895667034
NORVerilog3/Infected/Inf_gate_level_870_NOR.v, 13646, 124892, 0.10926240271594657
NORVerilog3/Infected/Inf_gate_level_622_NOR.v, 5566, 180793, 0.030786590188779432
NORVerilog3/Infected/Inf_gate_level_945_NOR.v, 14216, 231862, 0.06131233233561342
NORVerilog3/Infected/Inf_gate_level_304_NOR.v, 8812, 176836, 0.049831482277364336
NORVerilog3/Infected/Inf_gate_level_342_NOR.v, 11054, 100817, 0.1096442068301973
NORVerilog3/Infected/Inf_gate_level_407_NOR.v, 12347, 130588, 0.09454926945814317
NORVerilog3/Infected/Inf_gate_level_1530_NOR.v, 12359, 206837, 0.05975236538917118
NORVerilog3/Infected/Inf_gate_level_377_NOR.v, 10807, 220485, 0.0490146721999229
NORVerilog3/Infected/Inf_gate_level_79_NOR.v, 10085, 88275, 0.11424525630133107
