Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.6990277171134949, 0.6429766416549683, 0.5439955592155457, 0.753164529800415
2, 0.6452720761299133, 0.5920551419258118, 0.6098505854606628, 0.7768987417221069
3, 0.6101291179656982, 0.5503342151641846, 0.6629773378372192, 0.8101266026496887
4, 0.5625045299530029, 0.5260671973228455, 0.6995019316673279, 0.8354430198669434
5, 0.5510669946670532, 0.4985700249671936, 0.7194244861602783, 0.8686708807945251
6, 0.5186635851860046, 0.4617744982242584, 0.7636967301368713, 0.9003164768218994
7, 0.46271994709968567, 0.4179026484489441, 0.8035417795181274, 0.922468364238739
8, 0.4338332712650299, 0.38070499897003174, 0.8328721523284912, 0.9287974834442139
9, 0.4085098206996918, 0.3515017628669739, 0.8494742512702942, 0.9303797483444214
10, 0.3746975064277649, 0.33085042238235474, 0.8693968057632446, 0.9303797483444214
11, 0.3551126718521118, 0.31298041343688965, 0.8826784491539001, 0.9303797483444214
12, 0.35348212718963623, 0.3063160479068756, 0.8843386769294739, 0.9303797483444214
13, 0.34418079257011414, 0.3056435286998749, 0.8871057033538818, 0.9303797483444214
14, 0.3335680663585663, 0.3044876158237457, 0.8920863270759583, 0.9303797483444214
15, 0.3191288411617279, 0.30149391293525696, 0.893746554851532, 0.9303797483444214
16, 0.2961903512477875, 0.293474018573761, 0.9003874063491821, 0.9303797483444214
17, 0.30202290415763855, 0.2918154299259186, 0.8987271785736084, 0.9303797483444214
18, 0.3018690049648285, 0.2906428575515747, 0.9003874063491821, 0.9303797483444214
19, 0.29895585775375366, 0.29111042618751526, 0.8998339772224426, 0.9303797483444214
20, 0.2863498628139496, 0.2880679666996002, 0.9092418551445007, 0.9303797483444214
