Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.3784498870372772, 0.15996153652668, 0.8393144011497498, 0.9594882726669312
2, 0.14813676476478577, 0.11132311820983887, 0.9528655409812927, 0.9808102250099182
3, 0.11153163015842438, 0.09725312888622284, 0.9667916297912598, 0.9808102250099182
4, 0.07603833824396133, 0.07695743441581726, 0.9807177186012268, 0.9850746393203735
5, 0.07055851817131042, 0.06901969760656357, 0.9839314222335815, 0.9850746393203735
6, 0.04836183786392212, 0.046819500625133514, 0.9833958148956299, 0.9893389940261841
7, 0.03955280780792236, 0.0380680076777935, 0.9882164001464844, 0.9893389940261841
8, 0.03485750034451485, 0.030146412551403046, 0.9871451258659363, 0.9936034083366394
9, 0.032482173293828964, 0.03143906593322754, 0.9925013184547424, 0.9893389940261841
10, 0.016612043604254723, 0.027149509638547897, 0.9935725927352905, 0.9936034083366394
