Epoch, Loss, Validation Loss, Accuracy, Validation Accuracy
1, 0.7507680654525757, 0.486725777387619, 0.5887492895126343, 0.8787878751754761
2, 0.48998740315437317, 0.35884442925453186, 0.7990169525146484, 0.9199134111404419
3, 0.3970041275024414, 0.33826446533203125, 0.8651010394096375, 0.9177489280700684
4, 0.34947195649147034, 0.331651508808136, 0.8842162489891052, 0.9199134111404419
5, 0.35310664772987366, 0.3251315951347351, 0.8864008784294128, 0.9199134111404419
6, 0.34212490916252136, 0.3018534481525421, 0.8885854482650757, 0.9155844449996948
7, 0.3393792510032654, 0.31921711564064026, 0.8940469622612, 0.911255419254303
8, 0.3286965787410736, 0.30420345067977905, 0.8896777629852295, 0.9177489280700684
9, 0.32480061054229736, 0.2996519207954407, 0.8929546475410461, 0.9134199023246765
10, 0.3086097538471222, 0.2915033996105194, 0.8924084901809692, 0.9134199023246765
